[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.34 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00300000 | Giá: 1894.34 USDT | Tổng: 5.68 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00660000 | Giá: 1894.33 USDT | Tổng: 12.50 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.02920000 | Giá: 1894.32 USDT | Tổng: 55.31 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1894.31 USDT | Tổng: 5.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00480000 | Giá: 1894.28 USDT | Tổng: 9.09 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00550000 | Giá: 1894.28 USDT | Tổng: 10.42 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00320000 | Giá: 1894.27 USDT | Tổng: 6.06 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.27 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.09680000 | Giá: 1894.26 USDT | Tổng: 183.36 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.26 USDT | Tổng: 5.30 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00270000 | Giá: 1894.25 USDT | Tổng: 5.11 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.07920000 | Giá: 1894.25 USDT | Tổng: 150.02 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.03100000 | Giá: 1894.23 USDT | Tổng: 58.72 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00960000 | Giá: 1894.23 USDT | Tổng: 18.18 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.01450000 | Giá: 1894.22 USDT | Tổng: 27.47 USDT
[ETH] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00280000 | Giá: 1894.22 USDT | Tổng: 5.30 USDT
