[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00019000 | Giá: 86742.13 USDT | Tổng: 16.48 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00006000 | Giá: 86742.12 USDT | Tổng: 5.20 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00288000 | Giá: 86741.80 USDT | Tổng: 249.82 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00130000 | Giá: 86741.69 USDT | Tổng: 112.76 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00010000 | Giá: 86741.68 USDT | Tổng: 8.67 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00010000 | Giá: 86741.68 USDT | Tổng: 8.67 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00089000 | Giá: 86741.68 USDT | Tổng: 77.20 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00130000 | Giá: 86741.68 USDT | Tổng: 112.76 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00183000 | Giá: 86741.67 USDT | Tổng: 158.74 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00023000 | Giá: 86741.65 USDT | Tổng: 19.95 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00017000 | Giá: 86741.62 USDT | Tổng: 14.75 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00023000 | Giá: 86741.34 USDT | Tổng: 19.95 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00043000 | Giá: 86741.34 USDT | Tổng: 37.30 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00023000 | Giá: 86741.34 USDT | Tổng: 19.95 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00150000 | Giá: 86741.33 USDT | Tổng: 130.11 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00120000 | Giá: 86741.33 USDT | Tổng: 104.09 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00011000 | Giá: 86740.99 USDT | Tổng: 9.54 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00020000 | Giá: 86740.93 USDT | Tổng: 17.35 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00021000 | Giá: 86740.89 USDT | Tổng: 18.22 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00006000 | Giá: 86740.88 USDT | Tổng: 5.20 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00017000 | Giá: 86740.88 USDT | Tổng: 14.75 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00008000 | Giá: 86740.87 USDT | Tổng: 6.94 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00012000 | Giá: 86740.84 USDT | Tổng: 10.41 USDT
[BTC] 2025/04/03 00:31:19 Giao dịch: BÁN | Số lượng: 0.00172000 | Giá: 86740.85 USDT | Tổng: 149.19 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00010000 | Giá: 86740.84 USDT | Tổng: 8.67 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00010000 | Giá: 86740.84 USDT | Tổng: 8.67 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00041000 | Giá: 86740.84 USDT | Tổng: 35.56 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00090000 | Giá: 86740.84 USDT | Tổng: 78.07 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00090000 | Giá: 86740.83 USDT | Tổng: 78.07 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00090000 | Giá: 86740.82 USDT | Tổng: 78.07 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00007000 | Giá: 86740.25 USDT | Tổng: 6.07 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00007000 | Giá: 86740.25 USDT | Tổng: 6.07 USDT
[BTC] 2025/04/03 00:31:20 Giao dịch: BÁN | Số lượng: 0.00009000 | Giá: 86740.25 USDT | Tổng: 7.81 USDT
